modifier type "Weapon"
modifier "Handedness","Handedness"
modifier "Weight","ConstantInt"
modifier "AttackAPCost","ConstantInt"
modifier "ComboCategory","FixedString"
modifier "Flags","AttributeFlags"
modifier "Boosts","FixedString"
modifier "InventoryTab","InventoryTabs"
modifier "Charges","ConstantInt"
modifier "Skills","FixedString"
modifier "Reflection","FixedString"

modifier type "Armor"
modifier "Armor Defense Value","ConstantInt"
modifier "Movement","Penalty Qualifier"
modifier "Initiative","ConstantInt"
modifier "Requirements","Requirements"
modifier "Slot","Itemslot"
modifier "Durability","Qualifier"
modifier "DurabilityDegradeSpeed","Qualifier"
modifier "Value","PreciseQualifier"
modifier "ModifierType","ModifierType"
modifier "Act","Act"
modifier "Act part","ActPart"
modifier "Fire","Penalty Qualifier"
modifier "Air","Penalty Qualifier"
modifier "Water","Penalty Qualifier"
modifier "Earth","Penalty Qualifier"
modifier "Poison","Penalty Qualifier"
modifier "Shadow","Penalty Qualifier"
modifier "Piercing","Penalty Qualifier"
modifier "Crushing","Penalty Qualifier"
modifier "Slashing","Penalty Qualifier"
modifier "StrengthBoost","Penalty Qualifier"
modifier "DexterityBoost","Penalty Qualifier"
modifier "IntelligenceBoost","Penalty Qualifier"
modifier "ConstitutionBoost","Penalty Qualifier"
modifier "SpeedBoost","Penalty Qualifier"
modifier "PerceptionBoost","Penalty Qualifier"
modifier "WarriorLore","Penalty Qualifier"
modifier "RangerLore","Penalty Qualifier"
modifier "SingleHanded","Penalty Qualifier"
modifier "TwoHanded","Penalty Qualifier"
modifier "Blackrock","Penalty Qualifier"
modifier "Bow","Penalty Qualifier"
modifier "Crossbow","Penalty Qualifier"
modifier "Wand","Penalty Qualifier"
modifier "DualWielding","Penalty Qualifier"
modifier "Shield","Penalty Qualifier"
modifier "Throwing","Penalty Qualifier"
modifier "Reflexes","Penalty Qualifier"
modifier "ArmorMastery","Penalty Qualifier"
modifier "BodyBuilding","Penalty Qualifier"
modifier "Sourcery","Penalty Qualifier"
modifier "Telekinesis","Penalty Qualifier"
modifier "Willpower","Penalty Qualifier"
modifier "FireSpecialist","Penalty Qualifier"
modifier "WaterSpecialist","Penalty Qualifier"
modifier "AirSpecialist","Penalty Qualifier"
modifier "EarthSpecialist","Penalty Qualifier"
modifier "Repair","Penalty Qualifier"
modifier "Sneaking","Penalty Qualifier"
modifier "PickPocket","Penalty Qualifier"
modifier "LockPicking","Penalty Qualifier"
modifier "Loremaster","Penalty Qualifier"
modifier "Crafting","Penalty Qualifier"
modifier "Barter","Penalty Qualifier"
modifier "Charm","Penalty Qualifier"
modifier "Intimidate","Penalty Qualifier"
modifier "Reason","Penalty Qualifier"
modifier "Charisma","Penalty Qualifier"
modifier "Leadership","Penalty Qualifier"
modifier "Luck","Penalty Qualifier"
modifier "SightBoost","Penalty Qualifier"
modifier "HearingBoost","Penalty Qualifier"
modifier "VitalityBoost","Penalty Qualifier"
modifier "MagicPointsBoost","Penalty Qualifier"
modifier "ChanceToHitBoost","ConstantInt"
modifier "APMaximum","ConstantInt"
modifier "APStart","ConstantInt"
modifier "APRecovery","ConstantInt"
modifier "OffenseRatingBoost","Penalty Qualifier"
modifier "DefenseRatingBoost","Penalty Qualifier"
modifier "CriticalChance","Penalty Qualifier"
modifier "Unique","YesNo"
modifier "ComboCategory","FixedString"
modifier "Weight","ConstantInt"
modifier "InventoryTab","InventoryTabs"
modifier "Flags","AttributeFlags"
modifier "ArmorType","ArmorType"
modifier "Boosts","FixedString"
modifier "Skills","FixedString"
modifier "ItemColor","FixedString"
modifier "Reflection","FixedString"

modifier type "Shield"
modifier "Armor Defense Value","ConstantInt"
modifier "Movement","Penalty Qualifier"
modifier "Initiative","ConstantInt"
modifier "Requirements","Requirements"
modifier "Slot","Itemslot"
modifier "Durability","Qualifier"
modifier "DurabilityDegradeSpeed","Qualifier"
modifier "Value","PreciseQualifier"
modifier "ModifierType","ModifierType"
modifier "Act","Act"
modifier "Act part","ActPart"
modifier "Fire","Penalty Qualifier"
modifier "Air","Penalty Qualifier"
modifier "Water","Penalty Qualifier"
modifier "Earth","Penalty Qualifier"
modifier "Poison","Penalty Qualifier"
modifier "Shadow","Penalty Qualifier"
modifier "Piercing","Penalty Qualifier"
modifier "Crushing","Penalty Qualifier"
modifier "Slashing","Penalty Qualifier"
modifier "Blocking","ConstantInt"
modifier "StrengthBoost","Penalty Qualifier"
modifier "DexterityBoost","Penalty Qualifier"
modifier "IntelligenceBoost","Penalty Qualifier"
modifier "ConstitutionBoost","Penalty Qualifier"
modifier "SpeedBoost","Penalty Qualifier"
modifier "PerceptionBoost","Penalty Qualifier"
modifier "WarriorLore","Penalty Qualifier"
modifier "RangerLore","Penalty Qualifier"
modifier "SingleHanded","Penalty Qualifier"
modifier "TwoHanded","Penalty Qualifier"
modifier "Blackrock","Penalty Qualifier"
modifier "Bow","Penalty Qualifier"
modifier "Crossbow","Penalty Qualifier"
modifier "Wand","Penalty Qualifier"
modifier "DualWielding","Penalty Qualifier"
modifier "Shield","Penalty Qualifier"
modifier "Throwing","Penalty Qualifier"
modifier "Reflexes","Penalty Qualifier"
modifier "ArmorMastery","Penalty Qualifier"
modifier "BodyBuilding","Penalty Qualifier"
modifier "Sourcery","Penalty Qualifier"
modifier "Telekinesis","Penalty Qualifier"
modifier "Willpower","Penalty Qualifier"
modifier "FireSpecialist","Penalty Qualifier"
modifier "WaterSpecialist","Penalty Qualifier"
modifier "AirSpecialist","Penalty Qualifier"
modifier "EarthSpecialist","Penalty Qualifier"
modifier "Repair","Penalty Qualifier"
modifier "Sneaking","Penalty Qualifier"
modifier "PickPocket","Penalty Qualifier"
modifier "LockPicking","Penalty Qualifier"
modifier "Loremaster","Penalty Qualifier"
modifier "Crafting","Penalty Qualifier"
modifier "Barter","Penalty Qualifier"
modifier "Charm","Penalty Qualifier"
modifier "Intimidate","Penalty Qualifier"
modifier "Reason","Penalty Qualifier"
modifier "Charisma","Penalty Qualifier"
modifier "Leadership","Penalty Qualifier"
modifier "Luck","Penalty Qualifier"
modifier "SightBoost","Penalty Qualifier"
modifier "HearingBoost","Penalty Qualifier"
modifier "VitalityBoost","Penalty Qualifier"
modifier "MagicPointsBoost","Penalty Qualifier"
modifier "ChanceToHitBoost","ConstantInt"
modifier "APMaximum","ConstantInt"
modifier "APStart","ConstantInt"
modifier "APRecovery","ConstantInt"
modifier "OffenseRatingBoost","Penalty Qualifier"
modifier "DefenseRatingBoost","Penalty Qualifier"
modifier "CriticalChance","Penalty Qualifier"
modifier "Unique","YesNo"
modifier "ComboCategory","FixedString"
modifier "Weight","ConstantInt"
modifier "InventoryTab","InventoryTabs"
modifier "Flags","AttributeFlags"
modifier "Skills","FixedString"
modifier "Reflection","FixedString"

modifier type "Potion"
modifier "ModifierType","ModifierType"
modifier "Strength","ConstantInt"
modifier "Dexterity","ConstantInt"
modifier "Intelligence","ConstantInt"
modifier "Constitution","ConstantInt"
modifier "Speed","ConstantInt"
modifier "Perception","ConstantInt"
modifier "WarriorLore","ConstantInt"
modifier "RangerLore","ConstantInt"
modifier "RogueLore","ConstantInt"
modifier "SingleHanded","ConstantInt"
modifier "TwoHanded","ConstantInt"
modifier "Blackrock","ConstantInt"
modifier "Bow","ConstantInt"
modifier "Crossbow","ConstantInt"
modifier "Wand","ConstantInt"
modifier "DualWielding","ConstantInt"
modifier "Shield","ConstantInt"
modifier "Throwing","ConstantInt"
modifier "Reflexes","ConstantInt"
modifier "ArmorMastery","ConstantInt"
modifier "BodyBuilding","ConstantInt"
modifier "Sourcery","ConstantInt"
modifier "Telekinesis","ConstantInt"
modifier "Willpower","ConstantInt"
modifier "FireSpecialist","ConstantInt"
modifier "WaterSpecialist","ConstantInt"
modifier "AirSpecialist","ConstantInt"
modifier "EarthSpecialist","ConstantInt"
modifier "Repair","ConstantInt"
modifier "Sneaking","ConstantInt"
modifier "PickPocket","ConstantInt"
modifier "LockPicking","ConstantInt"
modifier "Loremaster","ConstantInt"
modifier "Crafting","ConstantInt"
modifier "Barter","ConstantInt"
modifier "Charm","ConstantInt"
modifier "Intimidate","ConstantInt"
modifier "Reason","ConstantInt"
modifier "Charisma","ConstantInt"
modifier "Leadership","ConstantInt"
modifier "Luck","ConstantInt"
modifier "FireResistance","ConstantInt"
modifier "EarthResistance","ConstantInt"
modifier "WaterResistance","ConstantInt"
modifier "AirResistance","ConstantInt"
modifier "PoisonResistance","ConstantInt"
modifier "PiercingResistance","ConstantInt"
modifier "SlashingResistance","ConstantInt"
modifier "CrushingResistance","ConstantInt"
modifier "ShadowResistance","ConstantInt"
modifier "Sight","Penalty Qualifier"
modifier "Hearing","Penalty Qualifier"
modifier "Initiative","ConstantInt"
modifier "Vitality","Penalty Qualifier"
modifier "VitalityPercentage","ConstantInt"
modifier "MagicPoints","Penalty Qualifier"
modifier "ChanceToHitBoost","ConstantInt"
modifier "DamageBoost","ConstantInt"
modifier "APCostBoost","ConstantInt"
modifier "APMaximum","ConstantInt"
modifier "APStart","ConstantInt"
modifier "APRecovery","ConstantInt"
modifier "Movement","Penalty Qualifier"
modifier "MovementSpeedBoost","ConstantInt"
modifier "Gain","Penalty Qualifier"
modifier "Armor","Penalty Qualifier"
modifier "ArmorBoost","ConstantInt"
modifier "CriticalChance","Penalty Qualifier"
modifier "Act","Act"
modifier "Act part","ActPart"
modifier "Duration","ConstantInt"
modifier "Unique","YesNo"
modifier "UseAPCost","ConstantInt"
modifier "ComboCategory","FixedString"
modifier "StackId","FixedString"
modifier "BoostConditions","SkillBoostConditions"
modifier "Flags","AttributeFlags"
modifier "StatusMaterial","FixedString"
modifier "StatusEffect","FixedString"
modifier "StatusIcon","FixedString"
modifier "SavingThrow","SavingThrow"
modifier "Weight","ConstantInt"
modifier "Value","PreciseQualifier"
modifier "InventoryTab","InventoryTabs"
modifier "UnknownBeforeConsume","YesNo"
modifier "Reflection","FixedString"
modifier "Damage","Qualifier"
modifier "Damage Multiplier","ConstantInt"
modifier "Damage Range","ConstantInt"
modifier "DamageType","Damage Type"
modifier "AuraRadius","ConstantInt"
modifier "AuraSelf","FixedString"
modifier "AuraAllies","FixedString"
modifier "AuraEnemies","FixedString"
modifier "AuraNeutrals","FixedString"
modifier "AuraItems","FixedString"
modifier "AuraFX","FixedString"

modifier type "Object"
modifier "ModifierType","ModifierType"
modifier "Act","Act"
modifier "Act part","ActPart"
modifier "Unique","YesNo"
modifier "UseAPCost","ConstantInt"
modifier "Value","PreciseQualifier"
modifier "ComboCategory","FixedString"
modifier "Weight","ConstantInt"
modifier "Constitution","Qualifier"
modifier "Vitality","ConstantInt"
modifier "Armor","Qualifier"
modifier "FireResistance","ConstantInt"
modifier "EarthResistance","ConstantInt"
modifier "WaterResistance","ConstantInt"
modifier "AirResistance","ConstantInt"
modifier "PoisonResistance","ConstantInt"
modifier "PiercingResistance","ConstantInt"
modifier "SlashingResistance","ConstantInt"
modifier "CrushingResistance","ConstantInt"
modifier "ShadowResistance","ConstantInt"
modifier "Flags","AttributeFlags"
modifier "Requirements","Requirements"
modifier "InventoryTab","InventoryTabs"

modifier type "Character"
modifier "Strength","Qualifier"
modifier "Dexterity","Qualifier"
modifier "Intelligence","Qualifier"
modifier "Constitution","Qualifier"
modifier "Speed","Qualifier"
modifier "Perception","Qualifier"
modifier "WarriorLore","Qualifier"
modifier "RangerLore","Qualifier"
modifier "RogueLore","Qualifier"
modifier "SingleHanded","Qualifier"
modifier "TwoHanded","Qualifier"
modifier "Blackrock","Qualifier"
modifier "Bow","Qualifier"
modifier "Crossbow","Qualifier"
modifier "Wand","Qualifier"
modifier "DualWielding","Qualifier"
modifier "Shield","Qualifier"
modifier "Throwing","Qualifier"
modifier "Reflexes","Qualifier"
modifier "ArmorMastery","Qualifier"
modifier "BodyBuilding","Qualifier"
modifier "Sourcery","Qualifier"
modifier "Telekinesis","Qualifier"
modifier "Willpower","Qualifier"
modifier "FireSpecialist","Qualifier"
modifier "WaterSpecialist","Qualifier"
modifier "AirSpecialist","Qualifier"
modifier "EarthSpecialist","Qualifier"
modifier "Repair","Qualifier"
modifier "Sneaking","Qualifier"
modifier "PickPocket","Qualifier"
modifier "LockPicking","Qualifier"
modifier "Loremaster","Qualifier"
modifier "Crafting","Qualifier"
modifier "Barter","Qualifier"
modifier "Charm","Qualifier"
modifier "Intimidate","Qualifier"
modifier "Reason","Qualifier"
modifier "Charisma","Qualifier"
modifier "Leadership","Qualifier"
modifier "Luck","Qualifier"
modifier "FireResistance","ConstantInt"
modifier "EarthResistance","ConstantInt"
modifier "WaterResistance","ConstantInt"
modifier "AirResistance","ConstantInt"
modifier "PoisonResistance","ConstantInt"
modifier "PiercingResistance","ConstantInt"
modifier "SlashingResistance","ConstantInt"
modifier "CrushingResistance","ConstantInt"
modifier "ShadowResistance","ConstantInt"
modifier "Sight","Penalty Qualifier"
modifier "Hearing","Penalty Qualifier"
modifier "FOV","ConstantInt"
modifier "APMaximum","ConstantInt"
modifier "APStart","ConstantInt"
modifier "APRecovery","ConstantInt"
modifier "Initiative","ConstantInt"
modifier "Vitality","ConstantInt"
modifier "MagicPoints","ConstantInt"
modifier "ChanceToHitBoost","ConstantInt"
modifier "Movement","Penalty Qualifier"
modifier "CriticalChance","Penalty Qualifier"
modifier "Gain","Penalty Qualifier"
modifier "Armor","Qualifier"
modifier "ArmorBoost","ConstantInt"
modifier "OffenseRating","Penalty Qualifier"
modifier "DefenseRating","Penalty Qualifier"
modifier "Act","Act"
modifier "Act part","ActPart"
modifier "Act strength","Penalty Qualifier"
modifier "MaxResistance","ConstantInt"
modifier "Weight","ConstantInt"
modifier "Talents","FixedString"
modifier "Traits","FixedString"
modifier "PathInfluence","FixedString"
modifier "Flags","AttributeFlags"
modifier "Reflection","FixedString"

modifier type "SkillData"
modifier "SkillType","FixedString"
modifier "Level","ConstantInt"
modifier "Ability","SkillAbility"
modifier "Element","SkillElement"
modifier "Requirement","SkillRequirement"
modifier "Requirements","Requirements"
modifier "DisplayName","FixedString"
modifier "DisplayNameRef","FixedString"
modifier "Description","FixedString"
modifier "DescriptionRef","FixedString"
modifier "StatsDescription","FixedString"
modifier "StatsDescriptionRef","FixedString"
modifier "StatsDescriptionParams","FixedString"
modifier "Icon","FixedString"
modifier "FXScale","ConstantInt"
modifier "PrepareAnimationInit","FixedString"
modifier "PrepareAnimationLoop","FixedString"
modifier "PrepareEffect","FixedString"
modifier "PrepareEffectBone","FixedString"
modifier "CastAnimation","FixedString"
modifier "CastTextEvent","FixedString"
modifier "CastAnimationCheck","CastCheckType"
modifier "CastEffect","FixedString"
modifier "CastEffectTextEvent","FixedString"
modifier "TargetCastEffect","FixedString"
modifier "TargetHitEffect","FixedString"
modifier "InRainCastEffect","FixedString"
modifier "TargetEffect","FixedString"
modifier "SourceTargetEffect","FixedString"
modifier "TargetTargetEffect","FixedString"
modifier "LandingEffect","FixedString"
modifier "ImpactEffect","FixedString"
modifier "MaleImpactEffects","FixedString"
modifier "FemaleImpactEffects","FixedString"
modifier "OnHitEffect","FixedString"
modifier "DisappearEffect","FixedString"
modifier "ReappearEffect","FixedString"
modifier "ReappearEffectTextEvent","FixedString"
modifier "RainEffect","FixedString"
modifier "StormEffect","FixedString"
modifier "FlyEffect","FixedString"
modifier "SpatterEffect","FixedString"
modifier "ShieldMaterial","FixedString"
modifier "ShieldEffect","FixedString"
modifier "ContinueEffect","FixedString"
modifier "Template","FixedString"
modifier "Template1","FixedString"
modifier "Template2","FixedString"
modifier "Template3","FixedString"
modifier "WeaponBones","FixedString"
modifier "CanTargetCharacters","YesNo"
modifier "CanTargetItems","YesNo"
modifier "CanTargetTerrain","YesNo"
modifier "ForceTarget","YesNo"
modifier "TargetProjectiles","YesNo"
modifier "UseCharacterStats","YesNo"
modifier "UseWeaponDamage","YesNo"
modifier "SingleSource","YesNo"
modifier "ContinueOnKill","YesNo"
modifier "Autocast","YesNo"
modifier "AddWeaponRange","YesNo"
modifier "InRainAdjustment","ConstantInt"
modifier "Magic Cost","Qualifier"
modifier "ActionPoints","ConstantInt"
modifier "Cooldown","ConstantInt"
modifier "CooldownReduction","ConstantInt"
modifier "ChargeDuration","ConstantInt"
modifier "CastDelay","ConstantInt"
modifier "Offset","ConstantInt"
modifier "Lifetime","ConstantInt"
modifier "Duration","Qualifier"
modifier "TargetRadius","ConstantInt"
modifier "ExplodeRadius","ConstantInt"
modifier "AreaRadius","ConstantInt"
modifier "HitRadius","ConstantInt"
modifier "RadiusMax","ConstantInt"
modifier "Range","ConstantInt"
modifier "MaxDistance","ConstantInt"
modifier "Angle","ConstantInt"
modifier "TravelSpeed","ConstantInt"
modifier "Acceleration","ConstantInt"
modifier "Height","ConstantInt"
modifier "Damage","Qualifier"
modifier "Damage Multiplier","ConstantInt"
modifier "Damage Range","ConstantInt"
modifier "DamageType","Damage Type"
modifier "DamageMultiplier","PreciseQualifier"
modifier "DeathType","Death Type"
modifier "BonusDamage","Qualifier"
modifier "Chance To Hit Multiplier","ConstantInt"
modifier "HitPointsPercent","ConstantInt"
modifier "MinHitsPerTurn","ConstantInt"
modifier "MaxHitsPerTurn","ConstantInt"
modifier "HitDelay","ConstantInt"
modifier "MaxAttacks","ConstantInt"
modifier "NextAttackChance","ConstantInt"
modifier "NextAttackChanceDivider","ConstantInt"
modifier "EndPosRadius","Qualifier"
modifier "JumpDelay","ConstantInt"
modifier "TeleportDelay","ConstantInt"
modifier "PointsMaxOffset","ConstantInt"
modifier "RandomPoints","ConstantInt"
modifier "ChanceToPierce","ConstantInt"
modifier "MaxPierceCount","ConstantInt"
modifier "MaxForkCount","ConstantInt"
modifier "ForkLevels","ConstantInt"
modifier "ForkChance","ConstantInt"
modifier "HealAmount","Qualifier"
modifier "StatusClearChance","ConstantInt"
modifier "SurfaceType","Surface Type"
modifier "SurfaceLifetime","ConstantInt"
modifier "SurfaceStatusChance","ConstantInt"
modifier "SurfaceTileCollision","SurfaceCollisionFlags"
modifier "SurfaceGrowInterval","ConstantInt"
modifier "SurfaceGrowStep","ConstantInt"
modifier "SurfaceRadius","ConstantInt"
modifier "TotalSurfaceCells","ConstantInt"
modifier "SurfaceMinSpawnRadius","ConstantInt"
modifier "MinSurfaces","ConstantInt"
modifier "MaxSurfaces","ConstantInt"
modifier "MinSurfaceSize","ConstantInt"
modifier "MaxSurfaceSize","ConstantInt"
modifier "GrowSpeed","ConstantInt"
modifier "GrowOnSurface","SurfaceCollisionFlags"
modifier "GrowTimeout","ConstantInt"
modifier "SkillBoost","FixedString"
modifier "SkillAttributeFlags","AttributeFlags"
modifier "SkillProperties","Properties"
modifier "CleanseStatuses","FixedString"
modifier "TargetConditions","Conditions"
modifier "ShockWaveDuration","ConstantInt"
modifier "TeleportTextEvent","FixedString"
modifier "SummonEffect","FixedString"
modifier "ProjectileCount","ConstantInt"
modifier "ProjectileDelay","ConstantInt"
modifier "StrikeCount","ConstantInt"
modifier "StrikeDelay","ConstantInt"
modifier "SummonLevel","ConstantInt"
modifier "Damage On Jump","YesNo"
modifier "Damage On Landing","YesNo"
modifier "StartTextEvent","FixedString"
modifier "StopTextEvent","FixedString"
modifier "Healing Multiplier","ConstantInt"
modifier "Atmosphere","AtmosphereType"
modifier "ConsequencesStartTime","ConstantInt"
modifier "ConsequencesDuration","ConstantInt"
modifier "HealthBarColor","ConstantInt"
modifier "Skillbook","FixedString"
modifier "PreviewImpactEffect","FixedString"
modifier "IgnoreVisionBlock","YesNo"
modifier "HealEffectId","FixedString"
modifier "AddRangeFromAbility","Ability"
modifier "DivideDamage","YesNo"
modifier "OverrideMinAP","YesNo"
modifier "OverrideSkillLevel","YesNo"
modifier "Tier","SkillTier"
modifier "GrenadeBone","FixedString"
modifier "GrenadeProjectile","FixedString"
modifier "GrenadePath","FixedString"
modifier "MovingItem","FixedString"
modifier "ProjectileTerrainOffset","YesNo"
modifier "Accuracy","ProjectileAccuracy"
modifier "HitEffect","FixedString"

